Date,Time,Open,High,Low,Close,Volume,MA_200,EMA_12-26,EMA_50-200,%K,%D,RSI
2015.12.01,00:00,1064.81,1088.78,1046.23,1060.81,2275284,971.0984126705154,-71.7547235963766,289.72292089996665,5.579793340987345,13.485076699299782,38.76656452300262
2016.01.01,00:00,1064.88,1127.94,1061.66,1117.99,2991334,972.5600205046396,-68.2025357809307,282.66008429837257,27.46268656716418,12.54441187238938,45.60085245540225
2016.02.01,00:00,1115.86,1263.34,1115.86,1238.3,3295834,975.204199405091,-55.04486685679558,279.35237187623443,73.50554917719096,35.51600969511415,53.99816676247145
2016.03.01,00:00,1239.05,1283.36,1208.15,1232.44,2329473,977.7637596100155,-44.576324345216335,275.9254951504736,77.80795587497914,59.59206387311142,45.37626628075254
2016.04.01,00:00,1231.56,1296.62,1208.93,1293.68,1745947,980.9072047880254,-30.98124033363456,274.35031449166036,98.8258317025441,83.37977891823806,57.44579022935612
2016.05.01,00:00,1292.65,1303.65,1199.62,1215.08,1994379,983.2372823523237,-26.246844138422603,270.44464793600196,65.59319400202,80.74232719318105,52.65839871762423
2016.06.01,00:00,1216.02,1358.25,1205.91,1321.58,2355686,986.6038765577732,-13.74272353945662,269.7407231310103,88.24754823408753,84.22219131288387,59.846869409660094
2016.07.01,00:00,1322.58,1375.05,1310.77,1351.11,3166486,990.2308031591886,-1.433766106768644,269.830086737878,92.71942095979561,82.18672106530104,61.13073715417756
2016.08.01,00:00,1350.61,1367.21,1304.16,1308.81,2591539,993.4007454163111,4.851984202109634,268.5718742887136,79.8552399489082,86.94073638093045,59.18662982536148
2016.09.01,00:00,1309.79,1352.51,1302.41,1315.89,2290565,996.6095937206264,10.286210407616863,267.47743305478934,82.00839365002133,84.86101818624171,66.2960060330933
2016.10.01,00:00,1317.19,1319.52,1241.3,1276.87,2131220,999.3982544796253,11.31386671782775,265.19006536342124,70.1417188735478,77.33511749082577,60.51385971659319
2016.11.01,00:00,1276.63,1337.16,1170.11,1172.62,3212423,1001.1218539375395,3.6738382803255263,259.85986512734826,38.43744297792102,63.52918516716338,53.8253055639612
2016.12.01,00:00,1173.73,1187.93,1122.62,1151.32,2214374,1002.616362853584,-4.052951387579014,254.0648966401318,31.959734809318146,46.846298886928984,50.6351942713168
2017.01.01,00:00,1151.67,1219.4,1145.95,1210.36,2743673,1004.6834637207126,-5.35077290644881,250.1812757928576,49.914847028769515,40.104008272002886,59.92089919404161
2017.02.01,00:00,1210.48,1263.79,1198.1,1248.0,2321136,1007.104523783193,-3.3039860861167654,247.49101025925677,59.45945945945946,47.11134709918236,62.15756316165486
2017.03.01,00:00,1248.5,1260.97,1194.91,1248.96,1877001,1009.5110459346041,-1.5861447187783142,244.86348677284775,51.35228982599641,53.57553210474179,59.176323865308355
2017.04.01,00:00,1247.94,1295.45,1243.65,1267.99,1535729,1012.0829758258021,1.2958807937377514,242.82549677547513,57.58824228498993,56.13333052348192,52.42426716746959
2017.05.01,00:00,1268.56,1274.08,1214.23,1268.7,1594868,1014.636379051416,3.595748294498435,240.81293776157577,57.86950837856044,55.603346829848924,52.98583662714097
2017.06.01,00:00,1268.67,1296.01,1236.01,1241.43,1503081,1016.8930319961781,3.1812769826215117,238.00650768689263,47.06651348888807,54.174754717479466,45.44249254226053
2017.07.01,00:00,1242.12,1271.04,1204.81,1269.37,1426449,1019.4052406330321,5.049126786904935,236.061768082075,58.13492849502831,54.35698345415893,55.19451939453088
2017.08.01,00:00,1269.47,1325.94,1251.44,1321.41,1791081,1022.4102631142955,10.606341000665907,235.6427452590426,78.75054470546296,61.31732889645977,49.981841874773046
2017.09.01,00:00,1321.85,1357.42,1275.92,1279.37,1764162,1024.967076416641,11.485795544203484,233.92189241264464,64.08683920029434,66.99077080026187,42.53672339894304
2017.10.01,00:00,1278.95,1305.91,1260.54,1271.0,2710010,1027.4151652085152,11.376242317126753,231.94874601962192,63.19420783645656,68.6771972474046,45.76775840068057
2017.11.01,00:00,1270.32,1299.08,1265.37,1274.7,3578014,1029.875710828331,11.455922924777497,230.08961564576157,64.77001703577514,64.01702135750867,45.35426676592001
2017.12.01,00:00,1275.02,1307.41,1236.37,1302.33,2762608,1032.5866987802879,13.591901487184487,229.0399874399186,76.53747870528105,68.16723452583757,52.94730505649194
2018.01.01,00:00,1309.81,1365.92,1305.7,1344.94,3732780,1035.6946918272502,18.509583819700538,229.1991831686346,91.37690094533497,77.56146556213037,73.2688776061359
2018.02.01,00:00,1343.39,1361.69,1307.04,1318.08,3816827,1038.5044958886706,20.008855347230565,228.47510949953244,78.25157976087642,82.0553198038308,72.18497232865047
2018.03.01,00:00,1319.02,1356.84,1302.76,1325.04,3292903,1041.355595432067,21.510690813560814,227.90088817620654,76.094965206713,81.90781530430812,67.71064986409685
2018.04.01,00:00,1325.8,1365.2,1310.18,1314.98,3197286,1044.0782263232902,21.63969933204089,226.97133635916862,70.21226828840416,74.85293775199784,61.30731312039975
2018.05.01,00:00,1316.11,1325.9,1282.0,1298.24,3318497,1046.6071991956953,20.15878350655339,225.50865514627503,57.991434423685675,68.09955597293425,57.89844851904089
2018.06.01,00:00,1298.89,1309.28,1245.84,1252.74,2229431,1048.6582718405143,15.13916246371764,222.69774507628063,29.749860343864455,52.651187685318085,47.7469491475342
2018.07.01,00:00,1252.73,1265.84,1211.45,1223.94,2127288,1050.4023686381213,8.736448969032153,219.0941966348778,11.873874992241385,33.20505658659716,43.893921204845576
2018.08.01,00:00,1224.13,1224.76,1160.07,1200.78,1732549,1051.898663477543,1.772995957879175,214.9031345298481,19.776536312849167,20.46675721631832,44.39171104550095
2018.09.01,00:00,1200.68,1212.6,1180.66,1191.51,1383329,1053.2878310051296,-4.442393107359067,210.5613474725601,15.273257226135554,15.641222843742021,38.674579624134545
2018.10.01,00:00,1191.89,1243.36,1183.16,1214.48,1418356,1054.891733184183,-7.429009690011526,207.02139907869514,26.43186786495023,20.493887134644968,33.00918422474339
2018.11.01,00:00,1215.3,1237.33,1196.21,1221.96,1271883,1056.5541039982706,-9.0875952212632,203.79223876410265,30.065581734272556,23.9235689417861,39.75224019135343
2018.12.01,00:00,1222.91,1284.02,1221.25,1279.48,1119332,1058.7722721176908,-5.695004452628609,202.32441014419737,58.008258440612096,38.16856934661161,51.28773613557675
2019.01.01,00:00,1282.21,1326.25,1276.54,1321.05,883441,1061.3820007533357,0.3440339496078195,202.06579200808642,78.20257469030844,55.42547162173102,56.312477868874765
2019.02.01,00:00,1320.95,1346.66,1302.34,1313.08,726345,1063.8864584572825,4.435770202646836,201.50769537231918,74.33082341510804,70.18055218200952,51.54689613491812
2019.03.01,00:00,1314.15,1324.49,1280.77,1292.16,787302,1066.1578369800957,5.922164472661734,200.28595787579616,64.3933115585239,72.30890322131346,41.899441340782126
2019.04.01,00:00,1292.15,1310.53,1266.21,1283.29,666652,1068.3183560151197,6.311650986517407,198.78607433661955,60.069224394286536,66.2644531226395,44.34841937684785
2019.05.01,00:00,1283.13,1306.92,1266.2,1305.13,875962,1070.6746907811385,8.287098813766079,197.92093838033657,70.71613123385175,65.05955572888739,46.914804599126064
2019.06.01,00:00,1306.59,1439.21,1306.49,1409.91,1412928,1074.050166494759,18.098892993932395,200.0872026995994,89.50347495880206,73.42961019564677,61.371858453724336
2019.07.01,00:00,1391.67,1452.92,1381.66,1412.23,1461899,1077.415139962473,25.76501216079828,202.13762651838124,86.10551476865288,82.10837365376888,64.14373278407822
2019.08.01,00:00,1415.85,1555.21,1400.44,1520.55,2145213,1081.8244420523986,40.11852418998615,207.1791963311673,91.2284253682239,88.94580503189293,78.7479336181541
2019.09.01,00:00,1529.39,1556.98,1464.43,1472.29,1695526,1085.7096714847132,47.05716154402262,210.48166735439918,78.66266911894382,85.33220308527352,75.58990211231323
